name,rank,latitude,longitude,is_duplicate_name
CHEPSION,268,-0.2331275,35.5298155,False
KIANYAGA,269,-0.4951,37.3479937,False
RABUOR,270,-0.1492339,34.8256449,False
KITHIMANI,271,-1.1840152,37.4461281,False
TABAKA,272,-0.7547705,34.6607641,False
FAZA,273,-2.0562467,41.1099341,False
OLENGURUONE,274,-0.5968148999999999,35.6314191,False
KAMPI YA MOTO,275,-0.1243505,35.943122,False
MARIMANTI,276,-0.1570413,37.9778247,False
ENDARASHA,277,-0.3078006,36.7711774,False
KIBOKO,278,-2.2102833,37.7231033,False
KENYENYA,279,-0.8974333,34.7464552,False
KIPINI,280,-2.5265605,40.529246,False
KINUNGI,281,-0.802004,36.5300883,False
TURBO,282,0.6342241,35.0470761,False
LUNGA LUNGA,283,-4.5523967,39.1235104,False
IKINU,284,-1.100321,36.7965034,False
MASIMBA,285,-0.8609817999999999,34.9382584,False
KAPKATET,286,-0.6284544,35.1965796,False
NGEWA,287,-1.0858126,36.8357927,False
WIYUMIRIRIE,288,-0.07496980000000002,36.5877948,False
SABA SABA,289,-0.8763358,37.1446201,False
KABATI,290,-0.9530307000000001,37.1069957,False
SIKUTA MARMAR,291,-0.023559,37.906193,False
KARUGA,292,-0.023559,37.906193,False
KESSES,293,0.2750349,35.3466253,False
NUNGUNI,294,-1.7929201,37.3635538,False
KASUKU,295,-0.1335554,36.3795987,False
WAMUNYU,296,-1.413408,37.62402420000001,False
MUCHORWI,297,-0.023559,37.906193,False
KIIRUA,298,0.2002423,37.5641095,False
MAKUTANO,299,1.2544328,35.0911142,True
EWUASO KEDONG,300,-1.1486742,36.5067477,False
OL JORO OROK,301,-0.07330529999999999,36.3633516,False
RONGAI,302,-0.1705283,35.8552598,False
SIRISIA,303,0.7561794,34.5057525,False
BARATON,304,0.2374945,35.0718504,False
KIJABE,305,-0.9467949,36.5982281,False
BAMBA,306,-3.5423087,39.5226547,False
