name,county,rank,latitude,longitude,is_duplicate_name
AWASI,KISUMU,205,-0.1616445,35.0732265,False
LAISAMIS,MARSABIT,206,1.5962079,37.8061146,False
NAIRAGIE NGARE,NAROK,207,-1.041035,36.151581,False
RUNYENJES,EMBU,208,-0.4223518,37.5721011,False
MUHURI BAY,MIGORI,209,-0.023559,37.906193,False
MUSORIOT,NANDI,210,0.3189327,35.1667505,False
KINAMBA,LAIKIPIA,211,0.4131607,36.3213639,False
KERINGET,NAKURU,212,-0.4260762,35.6901698,False
NDHIWA,HOMA BAY,213,-0.7298697,34.3671172,False
TIMBOROA,BARINGO,214,0.0854953,35.5302127,False
BURNT FOREST,UASIN GISHU,215,0.2153963,35.4316201,False
MAUNGU,TAITA/TAVETA,216,-3.5650324,38.7525257,False
KEBIRIGO,NYAMIRA,217,-0.6027575,34.9603088,False
KAPSOWAR,ELGEYO/MARAKWET,218,0.948567,35.5084609,False
ILLASIT,KAJIADO,219,-2.9600288,37.5714735,False
JUA KALI,UASIN GISHU,220,-1.0491886,37.0953627,False
ARCHERS POST,SAMBURU,221,0.6395829,37.667929,False
WAMBA,SAMBURU,222,0.9830838999999999,37.32394010000001,False
SAMBURU,KWALE,223,1.2154506,36.954107,False
ISINETI,KAJIADO,224,-2.7373433,37.5033975,False
CHEPTAIS,BUNGOMA,225,0.8174946,34.4752715,False
KIMENDE,KIAMBU,226,-0.9816887999999999,36.6299164,False
NDUNYU NJERU,NYANDARUA,227,-0.5469552999999999,36.5576894,False
SIAKAGO,EMBU,228,-0.5776702,37.6404775,False
KATHIANI,MACHAKOS,229,-1.4116892,37.3312907,False
BARAGOI,SAMBURU,230,1.7851169,36.78733649999999,False
MOKOWE,LAMU,231,-2.2352243,40.8487826,False
SOTIK,BOMET,232,-0.6906734999999999,35.1110613,False
AMAGORO,BUSIA,233,0.6280397999999999,34.3290767,False
SEGA,SIAYA,234,-0.023559,37.906193,False
WUNDANYI,TAITA/TAVETA,235,-3.3982231,38.3639837,False
KANGARI,MURANG'A,236,-0.7934610000000001,36.8573186,False
NYANDIWA BEACH,HOMA BAY,237,-0.7210852000000001,34.0557692,False
KIGANJO,NYERI,238,-0.3906233,37.002812,False
NAMBALE,BUSIA,239,0.4492533,34.2518849,False
SEREM,VIHIGA/NANDI,240,0.088137,34.8458603,False
NJABINI,NYANDARUA,241,-0.7275516,36.65391839999999,False
OGEMBO,KISII,242,-0.8003002,34.7257313,False
MACKINON ROAD,KWALE,243,-3.7229566,39.0315206,False
KHAYEGA,KAKAMEGA,244,0.1920585,34.7851264,False
ROMBO,KAJIADO,245,-3.0575011,37.7662816,False
MOSOCHO,KISII,246,-0.611036,34.7630307,False
KIRIAINI,MURANG'A,247,-0.6000519999999999,36.9567938,False
NDORI,SIAYA,248,-0.07062009999999999,34.381897,False
KAGUMO,KIRINYAGA,249,-0.4765097,37.2363434,False
MASII,MACHAKOS,250,-1.4607193,37.4394929,False
FUNYULA,BUSIA,251,0.279642,34.1177232,False
MAGONGA,KISII,252,-0.023559,37.906193,False
MWEIGA,NYERI,253,-0.337328,36.9218584,False
NYANGUSU,NAROK/KISII,254,-0.9341490999999998,34.8099773,False
KAPSOIT,KERICHO,255,-0.3206518,35.21896820000001,False
MAGENA,KISII,256,-0.023559,37.906193,False
NTULELE,NAROK,257,-1.0888197,36.0675952,False
ORTUM,WEST POKOT,258,1.4375133,35.3562259,False
OLDONYO SABUK,MACHAKOS,259,-1.1400887,37.2570237,False
MITUNGUU,MERU,260,-0.1089044,37.7848732,False
KIKIMA,MAKUENI,261,-0.023559,37.906193,False
KAPCHEROP,ELGEYO/MARAKWET,262,1.0316617,35.3156504,False
YALA,SIAYA,263,0.09107930000000002,34.5360762,False
BAHATI,NAKURU,264,-1.2916424,36.8586637,False
MULOT,BOMET,265,-0.9483978000000001,35.4453207,False
LONDIAN,KERICHO,266,-0.2130109,35.6095474,False
TARBAJ,WAJIR,267,2.207131,40.1171111,False
CHEPSION,KERICHO,268,-0.2331275,35.5298155,False
KIANYAGA,KIRINYAGA,269,-0.4951,37.3479937,False
RABUOR,KISUMU,270,-0.1492339,34.8256449,False
KITHIMANI,MACHAKOS,271,-1.1840152,37.4461281,False
TABAKA,KISII,272,-0.7547705,34.6607641,False
FAZA,LAMU,273,-2.0562467,41.1099341,False
OLENGURUONE,NAKURU,274,-0.5968148999999999,35.6314191,False
KAMPI YA MOTO,NAKURU,275,-0.1243505,35.943122,False
MARIMANTI,THARAKA-NITHI,276,-0.1570413,37.9778247,False
ENDARASHA,NYERI,277,-0.3078006,36.7711774,False
KIBOKO,MAKUENI,278,-2.2102833,37.7231033,False
KENYENYA,KISII,279,-0.8974333,34.7464552,False
KIPINI,TANA RIVER,280,-2.5265605,40.529246,False
KINUNGI,NAKURU,281,-0.802004,36.5300883,False
TURBO,UASIN GISHU,282,0.6342241,35.0470761,False
LUNGA LUNGA,KWALE,283,-4.5523967,39.1235104,False
IKINU,KIAMBU,284,-1.100321,36.7965034,False
MASIMBA,KAJIADO,285,-0.8609817999999999,34.9382584,False
KAPKATET,KERICHO,286,-0.6284544,35.1965796,False
NGEWA,KIAMBU,287,-1.0858126,36.8357927,False
WIYUMIRIRIE,LAIKIPIA,288,-0.07496980000000002,36.5877948,False
SABA SABA,MURANG'A,289,-0.8763358,37.1446201,False
KABATI,KITUI,290,-0.9530307000000001,37.1069957,False
SIKUTA MARMAR,SAMBURU,291,-0.023559,37.906193,False
KARUGA,LAIKIPIA,292,-0.023559,37.906193,False
KESSES,UASIN GISHU,293,0.2750349,35.3466253,False
NUNGUNI,MAKUENI,294,-1.7929201,37.3635538,False
KASUKU,NYANDARUA,295,-0.1335554,36.3795987,False
WAMUNYU,MACHAKOS,296,-1.413408,37.62402420000001,False
MUCHORWI,NAKURU,297,-0.023559,37.906193,False
KIIRUA,MERU,298,0.2002423,37.5641095,False
MAKUTANO,BARINGO,299,-0.0985963,35.7079231,True
EWUASO KEDONG,KAJIADO,300,-1.1486742,36.5067477,False
OL JORO OROK,NYANDARUA,301,-0.07330529999999999,36.3633516,False
RONGAI,NAKURU,302,-0.1705283,35.8552598,False
SIRISIA,BUNGOMA,303,0.7561794,34.5057525,False
BARATON,NANDI,304,0.2374945,35.0718504,False
KIJABE,KIAMBU,305,-0.9467949,36.5982281,False
BAMBA,KILIFI,306,-3.5423087,39.5226547,False
